title,desc
FilmLoop Demo Video,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.filmloop.com"">FilmLoop</a> (<a href=""http://www.beta.techcrunch.com/2005/09/19/filmloop/"">profile</a>) has a 6 minute video of the founders demo’ing their product on the <a href=""http://www.demo.com/demonstrators/demo2005fall/55027.html"">DEMO website</a>.</p>, <p>It looks pretty slick. And a lot like <a href=""http://www.slide.com"">Slide</a>.</p>]"
Speaking of loops: Slide,"[<p id=""speakable-summary"">Everybody wants to get media distribution done right. Slide and <a href=""http://www.beta.techcrunch.com/2005/09/19/filmloop/"">Filmloop</a> both tackle the problem through a desktop application that is constantly updated with media items, scrolling to your hearts content. Contrary to Filmloop that is in closed Beta, Slide is out there and we’ve seen it for ourselves at <a href=""http://wiki.beta.techcrunch.com/second_meetup_bbq"">our last barbecue</a>.</p>, <p><img alt=""Slide"" class=""shot"" src=""https://beta.techcrunch.com/wp-content/uploads/2005/09/slideshot.jpg""/> I’ll be honest about it and say I saw both applications (Slide and Filmloop) as yet-another set of applications that sit on your desktop taking screen real-estate showing you pictures (by now you’ve figured I don’t use the Dashboard Slideshow widget on my mac, I bet). After seeing slide in action, though, I actually liked it.</p>, <p>Slide allows you to subscribe to content feeds by selected publishers or by your friends. This means that slide can become a useful tool on the job if you need to monitor graphical data, or it can be fun with your family if you want to keep watching new pictures from your loved ones. Me, I prefer the first. Initially I thought of a couple of applications, like monitoring webcams, graphical data or watching other kind of dataset that can be expressed through pictures. Then there’s the novelty uses like delivering music to selected people, etc.</p>, <p>All in all, even if you don’t like when things take some desktop space, you may find some of Slide’s capabilities interesting enough to give it a try, so go download it and try it for yourself.</p>, <p>I almost forgot that there’s now a TechCrunch channel for Slide, so if you want to subscribe to it, <a href=""http://techcrunch.slide.com/"">click here</a> and the Slide guys will take care of the rest for you. Sadly at the time of this writing there’s no MacOSX version so I can run it on my own machine, but we have it running on our demos machine in the living room. Nicely done!</p>]"
OPML – An Awesome Experiment,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>We’ve been following the evolution of Dave Winer’s <a href=""http://www.opml.org/"">OPML Editor</a> for most of this year (<a href=""http://www.beta.techcrunch.com/2005/08/21/dave-winers-creates-a-purple-cow-opml-editor/"">TechCrunch Profile</a>). We’ve experimented with it, but never fully understood all of the incredible potential that it has to organize and distribute information..</p>, <p><a href=""http://archive.scripting.com/2005/09/29#When:7:36:29AM"">Now we get it</a>. We’ve created a directory, in OPML format, of every TechCrunch company profile. Dave has put the TechCrunch directory up on <a href=""http://www.scripting.com"">Scripting News</a>. The directory updates on Scripting News automatically as we update the OPML file. All of our content is therefore available on the Scripting News site.</p>, <p>Dave wrote about this last night:</p>, <p><strong><a href=""http://www.thetwowayweb.com/2005/09/29#a2069"">Preview: TechCrunch directory in Scripting News</a></strong></p>, <p>There are so many stories that connect together in this one development, I’m going to have to do a podcast to explain (and I will, tomorrow), but in the meantime I wanted to show a rough top-level of the project, and give a brief idea of where it goes.</p>, <p><strong>First, look at any archive page on Scripting News, for example the page for today.</strong></p>, <p><a href=""http://archive.scripting.com/2005/09/28"">http://archive.scripting.com/2005/09/28</a></p>, <p>If you look in the right margin, you’ll see a box that lists the top level of an OPML directory being edited by Mike Arrington over at TechCrunch. Each of the items in the directory is an article on TechCrunch. I wanted to include his content in mine because I would point to every review he writes, they’re all on-topic for Scripting News readers.</p>, <p>When he makes a change to that directory, the <a href=""http://www.thetwowayweb.com/stories/storyReader$2070"">box</a> recalcs. When it appears on <a href=""http://www.scripting.com/"">www.scripting.com</a> tomorrow, it will recalc every time I update Scripting News (that page is statically rendered). If you want you can include Mike’s directory in your site, or in your directory through inclusion. It’s a normal OPML file, edited with the OPML Editor.</p>, <p>This is, in so many ways, the kind of collaboration I envisioned when I released the OPML Editor. Mike, a lawyer who loves technology, is exactly the kind of person I want to empower with OPML.</p>, <p>This is just a start. We’re working on the taxonomy and interface. But this is an interesting experiment in using OPML to solve real-Web problems. If you’d like assistance in working with OPML, please email us and/or check out <a href=""http://www.opml.org"">OPML.org</a>.</p>]"
Goowy adds Calendar and Other Features,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.goowy.com"">Goowy</a> is a browser based desktop tool built on Flash. See our <a href=""http://www.beta.techcrunch.com/2005/08/17/profile-goowy/"">August 17, 2005 profile of Goowy</a> for additional information.</p>, <p>Until recently, Goowy’s main draw (other than it is extremely fast)  was a very nice email application. Goowy also allows access of your regular email account in the Goowy UI via pop.</p>, <p>Goowy has launched new applications on their flash platform.</p>, <p><img alt="""" style=""float:left;""/>The two key new beta products are a calendar and a basic RSS reader.  The calendar application is tightly connected to email, and the feature base is as good as most ajax calendars we’ve reviewed. With these additions the suite of products is now becoming much more useful.</p>, <p>In the near future Goowy will also be creating a virtual file storage product and allowing email pop into and out of Goowy. Virtual file storage will have an optional desktop application allowing for simple drag and drop access of files into Goowy.</p>, <p>They’ve also made the strategic decision to open their API to developers for the creation of new desktop widgets.</p>, <p>Pop email access (in and out), email and file storage beyond 100 mb to the 2 gb range and other Goowy premium products will be priced at around $20 per year. The core products will remain free</p>]"
CustomScoop Offers Advanced Prospective Search,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>What I like best about <a href=""http://personal.customscoop.com/signup/"">CustomScoop</a>‘s new prospective search/press clippings product is that it is dead simple to use. I spoke to <a href=""http://www.interadvocacy.com/"">Chip Griffin</a>, CustomScoop’s Chief Innovation Officer and founder, tonight about his new service.</p>, <p>Steve Rubel has been testing CustomScoop and <a href=""http://www.micropersuasion.com/2005/09/get_in_on_the_c.html"">wrote about it earlier today</a>.</p>, <p>CustomScoop has had a <a href=""http://www.customscoop.com/"">successful high end search/clippings product </a>for five years. <a href=""http://www.customscoop.com/pricing/"">Pricing</a> ranges from $300 – $1,500 per month and includes lots of bells and whistles.</p>, <p>The CustomScoop Personal product strips out many of those features and enters the market with a free version (allowing one search per account), with a paid version coming soon that allows more searches – the fee will be “substantially less” than the prices charged for their core high end offerings.</p>, <p>CustomScoop is more more, and less, than existing prospective search engines like <a href=""http://www.pubsub.com"">PubSub</a>. More because they monitor sites not covered by existing prospective search engines (including pages without feeds) and because they offer much more tailored searches (language and country filters, more keyword inclusion/exclusion functionality, etc. Less because they search only 25,000 blogs, whereas blog search engines generally hit the entire blogosphere (tens of millions of blogs).</p>, <p>However, CustomScoop, like <a href=""http://tech.memeorandum.com"">Memeorandum</a> (<a href=""http://www.beta.techcrunch.com/2005/09/18/memeorandum-is-exceptional/"">profile</a>), carefully chooses what they consider to be the most important blogs that will supply their customers with pertinent information.</p>, <p>In addition to the 25,000 blogs, CustomScoop also monitors U.S. Online News (5,000 sources),  International Online News (2,000 sources), US &amp; EU Government Web Sites (7,000 sources) and Policy Web Sites (1,200 sources).</p>, <p>Search results, as they come in, can be viewed via RSS, twice daily emails or on the CustomScoop website. They’ve snuck in some nice ajax to speed up the review of large result sets.</p>]"
Writeboard Launches But Needs Feature Upgrades,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>37signals (creators of <a href=""http://www.beta.techcrunch.com/2005/06/12/backpack-showcases-rails-ajax/"">backpack</a>, <a href=""http://www.basecamphq.com/"">basecamp</a>, etc.) <a href=""http://www.micropersuasion.com/2005/10/37signals_to_re.html"">launched</a> <a href=""http://www.writeboard.com"">Writeboard</a>, an application to build sharable text documents online, today (Jason Fried’s post is <a href=""http://37signals.com/svn/archives2/writeboard_is_live.php"">here</a>).</p>, <p>It’s a nice collaboration tool, but recently released products such as <a href=""http://www.beta.techcrunch.com/2005/08/31/writely-process-words-with-your-browser/"">writely</a> and <a href=""http://www.beta.techcrunch.com/2005/09/27/jotspot-live-the-perfect-wiki/"">jotspot live</a> have much richer feature sets.</p>, <p>Writeboard, which is free, allows a user to create a new document very quickly, password protect it, and add users who can edit the document.</p>, <p>Unlike competitive solutions, you must use a special markup language to format text (no wysiwyg), you cannot upload images, and there is no ajax or other functionality to move content around on the page. It is also a little buggy – comments are not showing up at all on our test page. Frankly, if it wasn’t 37signals, who generally create awesome applications, we would not be profiling it yet.</p>, <p>However, our guess is that they will be adding functionality quickly. We are also looking forward to the launch of <a href=""http://www.beta.techcrunch.com/2005/08/05/profile-chalk/"">Chalk</a>.</p>, <p><a href=""http://www.solutionwatch.com/242/37signals-writeboard-for-collaborative-writing/"">SolutionWatch</a> has posted a thorough review of Writeboard.</p>]"
Zoho Writer – Another Ajax Word Processor,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>We’ve been looking at a lot of Ajax Office applications (see <a href=""http://earlystagevc.typepad.com/earlystagevc/2005/09/ajax_office_is_.html"">Peter Rip</a> and <a href=""http://blogs.zdnet.com/web2explorer/?p=20"">Richard MacManus</a> on this as well) and <a href=""http://www.beta.techcrunch.com/2005/10/02/writeboard-launches-but-needs-feature-upgrades/"">other</a> <a href=""http://www.beta.techcrunch.com/2005/09/27/jotspot-live-the-perfect-wiki/"">collaboration tools</a> lately.</p>, <p>Quite frankly, it’s many people’s opinion (ours included) that <a href=""http://www.beta.techcrunch.com/2005/08/31/writely-process-words-with-your-browser/"">Writely</a>, <a href=""http://www.beta.techcrunch.com/2005/09/27/jotspot-live-the-perfect-wiki/"">Jotspot Live</a>, <a href=""http://www.beta.techcrunch.com/2005/10/02/writeboard-launches-but-needs-feature-upgrades/"">Writeboard</a>, <a href=""http://www.beta.techcrunch.com/2005/08/05/profile-chalk/"">Chalk</a> and others are ultimately addressing the same customer pool – those who want to create, share, and group-edit documents online.</p>, <p>Zoho Writer is the newest entrant and is as good as the rest. Think Word + Group Editing + Ajax. It’s a rich ajax application that allows sharing and group editing, and, like Writely, has a great wysiwyg editing interface and excellent image import and manipulation features.</p>, <p>In fact, it’s pretty much exactly like Writely, except they do not yet support Word format import/export  or tagging (coming soon).</p>, <p>Check out Zoho’s BackPack-like product <a href=""http://www.zohoplanner.com"">Zoho Planner</a> too.</p>, <p>Can’t wait to see Google’s (rumored) full Ajax suite that is (rumored to be) coming out this year.</p>]"
1-800-Free-411: Free Directory Calls,"[<p id=""speakable-summary"">Directory assistance calls are expensive – $1 and higher – and yet 6 billion of them are made every year in the U.S. <a href=""http://www.free411.com/index.htm"">1-800-free-411</a> is a new and brilliant service from Jingle Networks that provides this service to consumers for free.</p>, <p><strong>1-800-FREE411 was created to provide callers with a free alternative to the skyrocketing rates being charged by phone companies for directory assistance (411).<br/>
</strong><br/>
The service is made possible by thousands of national and local businesses who sponsor this service with brief valuable audio advertisements that are played to callers who request businesses  in their yellow pages category.  This advertising model allows businesses to acquire new customers over the phone, cost effectively, with little or no risk.  Meanwhile callers get free directory assistance, potentially saving each of them thousand of dollars per year.</p>, <p>The company was founded by veteran advertising and technology executives who pioneered some of the most innovative and successful advertising solutions in online media and now they are opening yet another channel for businesses to acquire new customers. This time, it’s over the phone.</p>, <p>The service works mostly like normal directory assistance. You dial their phone number and go through an automated system that asks for the location, type of listing and listing name. While you are waiting for the number, you must listen to a 12 second advertisement from a competitor to the service. If you choose to use the competitor instead, you simply dial “1” to redirect your call.</p>, <p>Another difference is that if there is no local advertiser for the business type you have requested, the business receiving the call hears a short message at the beginning of the call telling them that the call is via Free-411. A tele-sales group follows up with the business to try to get them to advertise. Free-411 claims a 13% success rate in converting businesses to advertisers.</p>, <p>Free-411 gave a presentation at DEMO last week, which is available along with additional company information <a href=""http://www.demo.com/demonstrators/demo2005fall/55041.html"">here</a>.</p>, <p>As a user I love this, and I would highly consider advertising with them if I owned a small business.</p>, <p><strong>Team</strong></p>, <p>Scott Kliger – Founder and CEO<br/>
Tom Latinovich – Founder and SVP<br/>
Joshua Kopelman – Chairman<br/>
Susan S. Bratton – Advisor</p>]"
Web 2.0 This Week (Sept 25 – Oct 1),"[<p id=""speakable-summary"">The excitement is building over this week’s upcoming <a href=""http://www.web2con.com/"">Web 2.0 Conference</a> (October 5-7) in San Francisco. The event is sold out. It’s clear that a number of companies intend to launch this week, and so I expect we’ll be kept quite busy checking them all out.</p>, <p><a href=""http://www.beta.techcrunch.com/2005/09/26/pubsubs-linkrank-list-of-most-influential-blogs/"">PubSub LinkRank</a>, <a href=""http://www.beta.techcrunch.com/2005/09/26/skype-adding-video-other-features/"">Skype Video</a>, <a href=""http://www.beta.techcrunch.com/2005/09/26/zvents-launches-next-week/"">zvents</a>, <a href=""http://www.beta.techcrunch.com/2005/09/27/jotspot-live-the-perfect-wiki/"">Jotspot Live</a>, <a href=""http://www.beta.techcrunch.com/2005/09/28/rollyo-search-launches-today/"">Rollyo</a>, <a href=""http://www.beta.techcrunch.com/2005/09/28/filmloop-demo-video/"">FilmLoop</a>, <a href=""http://www.beta.techcrunch.com/2005/09/28/speaking-of-loops-slide/"">Slide</a>, <a href=""http://www.beta.techcrunch.com/2005/09/29/opml-an-awesome-experiment/"">OPML Editor</a>, <a href=""http://www.beta.techcrunch.com/2005/09/30/goowy-adds-calendar-and-other-features/"">Goowy</a> (update), <a href=""http://www.beta.techcrunch.com/2005/09/30/customscoop-offers-advanced-prospective-search/"">CustomScoop</a>, <a href=""http://www.beta.techcrunch.com/2005/10/02/writeboard-launches-but-needs-feature-upgrades/"">Writeboard</a>, <a href=""http://www.beta.techcrunch.com/2005/10/02/zoho-writers-ajax-word-processor/"">Zoho Writer</a></p>, <p>Richard MacManus <a href=""http://www.readwriteweb.com/archives/002851.php"">summarizes</a> this week’s evolution on the web 2.0 definitional thinking, inlcuding <a href=""http://www.oreillynet.com/lpt/a/6228"">Tim O’Reilly’s</a> important essay on the subject.</p>, <p>I also agree with <a href=""http://archive.scripting.com/2005/09/28#When:11:54:00PM"">Dave Winer</a> – John Furrier may have said it perfectly in his <a href=""http://gigaom.com/2005/09/28/what-is-web-20/"">comment to Om Malik</a>:</p>, <p>Come on this is so simple.. Web 2.0 is the next version of the Web 1.0 (second generation) – itâ€™s simply a better version than the previous version.</p>, <p><img alt="""" style=""float:left;""/><a href=""http://www.businessweek.com/the_thread/blogspotting/archives/2005/10/yahoo_preparing.html"">Stephen Baker</a> says Yahoo will launch blog search this week.</p>, <p><a href=""http://www.informationweek.com/story/showArticle.jhtml?articleID=171201491&amp;cid=RSSfeed_IWK_news"">Information Week</a> highlights new data released by Forrester Research last week. Ten percent of consumers now  read blogs at least once per week:</p>, <p>Participation in three of the technologies highest on the Internet’s buzz list — blogging, reading RSS feeds, and engaging in social networking — is climbing, a research firm said Wednesday, but two of the three haven’t cracked the 1-in-10 barrier.</p>, <p>Ten percent of consumers read blogs once a week or more, said Forrester Research at the opening of its annual Consumer Forum. That’s double the 5 percent who browsed blogs in 2004.</p>, <p>Real Simple Syndication (RSS) use tripled in the same period, from 2 percent in 2004 to 6 percent this year, while use of social network sites such as Friendster.com and MySpace.com increased from 4 percent last year to 6 percent in 2005.</p>, <p>Via <a href=""http://webreakstuff.com/blog/2005/09/new-numbers-of-the-blogosphere/"">Fred Oliveira on webreakstuff</a>.</p>, <p>John Musser creates a great <a href=""http://www.programmableweb.com/matrix"">visual matrix of current mashups</a> on Programmable Web. Let’s see how long he can keep it updated before it is simply too complicated to be usable. Great stuff.</p>, <p><img alt="""" style=""float:left;""/><a href=""http://blogs.zdnet.com/BTL/?p=1957&amp;part=rss&amp;tag=feed&amp;subj=zdblog""><br/>
Dan Farber</a> says <a href=""http://www.attentiontrust.org"">Attention Trust</a> (<a href=""http://www.beta.techcrunch.com/?p=100"">profile</a>) is launching a Recorder this week.</p>, <p>On Tuesday the organization will launch the AttentionTrust Recorder, a royalty-free, open sourced downloadable piece of code that keeps track of an individual’s behavior online. You can get the details in a <a href=""http://gillmorgang.podshow.com/AttentionTech2.mp3"">podcast</a> that features AttentionTrust Chairman Seth Goldstein and fellow ZDNet blogger and President of the organization, Steve Gillmor.</p>, <p>We’re big supporters of AttentionTrust and it’s ideals.</p>, <p><a href=""http://battellemedia.com/archives/001896.php"">Google is partnering with NASA</a> on all kinds of stuff:</p>, <p>NASA and Google have signed a memorandum of understanding (MOU) that<br/>
outlines plans for cooperation on a variety of areas, including<br/>
large-scale data management, massively distributed computing,<br/>
bio-info-nano convergence, and encouragement of the entrepreneurial<br/>
space industry. The MOU also highlights plans for Google to develop up<br/>
to one million square feet within the NASA Research Park at Moffett<br/>
Field.</p>, <p>The best commentary I’ve seen so far is from <a href=""http://www.yardley.ca/blog/index.php/archives/2005/09/29/google-brain-search"">Greg Yardley</a>, who writes:<br/>
<strong></strong></p>, <p>Iâ€™m not installing the Google Implant until itâ€™s out of beta, though.</p>, <p></p>]"
BrainJam Meetup this Friday,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://chrisheuer.blogspot.com/2005/10/web-21-lets-jam.html"">Chris Heur</a> has organized a <a href=""http://www.web2point1.org/"">BrainJam meetup</a> in San Francisco this Friday, October 7 from 1-5 pm. The nascent wiki is <a href=""http://brainjams.jot.com/WikiHome"">here</a>.</p>, <p><a href=""http://www.web2con.com/pub/w/40/program.html"">Web 2.0 ends at 5 on Friday</a>, so we’ll drop by for the “after party” that begins at 5:30.</p>, <p>The cost? $2.80. :-) Since I spent $2k for Web 2.0, this dollar-cost-averages down my per-event cost for the week to about $1k. Nice.</p>]"
iKarma has Potential to Be Huge,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.ikarma.com"">iKarma</a> is an online feedback and reputation system that we’ve been kicking the tires on for a few days.</p>, <p>While there are many closed, centralized feedback services that are quite useful (ebay’s feedback, for instance), they are a part of the service they support and cannot be leveraged effectively outside of those services.</p>, <p>I think they may be on to something really big here, but in my humble opinion they need to embrace the ideas of open services and open data. If they do that, I can see important third party applications being built on the back of iKarma. I expand on this below under “What it Needs”.</p>, <p>You can register for iKarma directly at their site or via an email from someone who would like to write about you. Once you’ve registered you get an initial five-star review from the iKarma team and are encouraged to add contacts and begin writing about people. If they aren’t members, you can invite them.</p>, <p>A review consists of a star rating (0-5) and a free-text area. Your overall star rating is averaged among all reviews. If <a href=""http://www.ikarma.com/faq.asp?MainShow=5&amp;userid=7954#7"">you don’t like a review</a>, you can leave a comment with an explanation or choose to start a more formal challenge process.</p>, <p>You can only leave a review for any given member once; however, you can edit all aspects of a review if you change your mind later.</p>, <p>The basic service is free and iKarma <a href=""http://www.ikarma.com/faq.asp?MainShow=5&amp;userid=7954#7"">plans </a>to roll out paid premium services in the future.</p>, <p>To see our iKarma profile, click the icon below, or <a href=""http://techcrunch.ikarma.com"">here</a>.</p>, <p><a href=""http://techcrunch.ikarma.com/"" target=""_new""><br/>
<img border=""0"" src=""http://techcrunch.ikarma.com/seals/sealcolors08_150x45.jpg""/></a></p>, <p>iKarma does one thing, reputation, very well. It has a clean and usable interface and no bugs were found. I also like that comments can be edited later on if the author changes her or his mind.</p>, <p>eBay has certainty that two parties have done business because they (eBay) close transactions and know who both parties are. A necessary limitation of the iKarma is that they have no idea if someone posting a review actually knows or has transacted with the person they are writing about. iKarma has mitigated this problem somewhat by creating a formal challenge process to any posted review.</p>, <p>I really like the point system in eBay. There is no upper limit on total feedback and I believe people use eBay sometimes simply because they want to increase their overall feedback number. In contrast, the only objective measure of your iKarma is an average star rating. After a certain critical mass is built up, another postive review or two will not noticeably affect your score. I think iKarma (for business reasons) should change their system to create a points system similar to eBay.</p>, <p>iKarma has an icon that you can include on a website or email (we’ve put one above). However, the icon would be more useful if it also told viewers your total iKarma score.</p>, <p>Lastly, and most importantly, there are many new web 2.0 and other online applications that could deeply embrace a third party reputation system like iKarma’s. But for that embrace to happen, they are going to have to <u>open up their data and their APIs and let people create mashups</u>.</p>, <p>I’m betting iKarma is hard at work building premium features to generate revenue. If I was running the company, I’d raise capital now (I don’t think they have), stop building premium features and focus entirely on opening up the APIs and data for third party applications. Good things will happen.</p>, <p>Paul Williams, Chief Executive Officer<br/>
Scott Pitchford, President<br/>
Andrew Mayer, Chief Architect<br/>
Lori Leach, Creative Director<br/>
Robert Warren, Marketing and Communications<br/>
Tyler Pitchford, Special Projects<br/>
Robert Lieblein, Multimedia Coordinator</p>]"
24 Hour Laundry Launches as Ning,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>24 Hour Laundry launched moments ago as <a href=""http://www.ning.com/"">Ning</a>. We’re profiling now.</p>]"
Ning launches!,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.ning.com"">Ning</a>, also known as the official name for <a href=""http://24hourlaundry.com"">24 Hour Laundry</a>‘s project, just launched. I actually had to keep myself from posting early because I was excited about it. Now that I got the word from them with the approval to post, here goes the unveiling.</p>, <p><a href=""http://www.ning.com"">Ning</a> is, and I quote, “a free online service (or, as we like to call it, a Playground) for building and using social applications. Social apps are web applications that enable anyone to match, transact, and communicate with other people”.</p>, <p><img alt=""Ning"" class=""shot"" src=""/wp-content/ning.gif""/>So, what does this mean for the global audience? A whole lot. It means anyone can now get their ideas out there and build a project (some people would call it a <a href=""http://www.beta.techcrunch.com/category/mash-ups/"">mash-up</a>) in a few clicks, with no developer experience. And if you are a developer, you can pop under the hood and change it to your liking, no questions asked.</p>, <p>The reason why I’m excited about it is simple: allowing people to build cool new stuff that they normally wouldn’t (empowering the users) is one of the best things you can do on the Web 2.0 space. If you think about it, back when blogging started it was also about allowing people to do things they weren’t able to before – publish content online. This is it, all over again, but instead of blogs, you get to build cool apps.</p>, <p>This being said, get out there and try it. And we at TechCrunch definitely want to see what you come up with too, so drop us a note if you’re using Ning to build cool stuff. To the 24 Hour Laundry guys: congratulations for the launch!</p>]"
Google Office – WTF?,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.sun.com/smi/Press/sunflash/2005-10/sunflash.20051004.1.html"">This is clearly not a Google Ajax Office suite</a>, which was <a href=""http://www.internetnews.com/dev-news/article.php/3553371"">widely anticipated</a>. And as far as we could tell, the <a href=""http://wcdata.sun.com/webcast/archives/VIP-2166/"">Webcast links</a> never worked. Overall, a big disappointment. People wasted an <a href=""http://tech.memeorandum.com/051003/p61#a051003p61"">incredible amount of time </a>yesterday on this non story, which basically boils down to people being given the option of downloading Google’s toolbar in addition to JRE or Open Office. snooooooooooooze.</p>]"
zvents Launches Today,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>The <a href=""http://www.zvents.com"">zvents</a> <a href=""http://www.zvents.com/welcome/about"">team</a> took the wrapper off their social event manager/calendar today. The timing of the announcement couldn’t be better, as Upcoming.org (a competitor) <a href=""http://www.waxy.org/archive/2005/10/04/yahoo_an.shtml"">announced its acquisition</a> by Yahoo yesterday.</p>, <p>Ethan Stock posted about the launch on the <a href=""http://blog.zvents.com/articles/2005/10/04/welcome-to-zvents"">zvents blog</a>. Key features include best of breed event search, tagging of events, easy blogging and blog/website widgets to promote your event. zvents uses ajax intelligently and the site feels very stable.</p>, <p>Zvents is also opening up a number of APIs to grab their data, encouraging mashups. We applaud them and look forward to developments.</p>]"
Flock Expanding Beta Today,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>I met with <a href=""http://fredo.wordpress.com/"">Geoffrey Arone</a> and <a href=""http://factoryjoe.com/blog"">Chris Messina</a> at <a href=""http://www.flock.com"">Flock</a> headquarters in Palo Alto yesterday to see the new Flock browser. Flock is expanding the beta group from a hundred or so individuals to a couple of thousand today.</p>, <p>We begged a beta invitation to Flock a while back and wrote about it in <a href=""http://www.beta.techcrunch.com/2005/08/26/flock-social-browsing-is-cool/"">a profile written on August 26, 2005</a></p>, <p>There have been significant improvements since then. The blogging tool is even slicker than it was before, with incredibly easy flickr integration, blog editing (dual pane with code/wysiwyg viewers) and other features.</p>, <p>Bookmarks are now integrated with del.icio.us, which just makes so much more sense than their original idea of creating a separate social bookmarking product.</p>, <p>Flock is looking like a very powerful and very beautiful product.</p>, <p><img alt="""" style=""float:left;""/>The Flock offices are literally in a garage off of University Ave in Palo Alto. Most people were awake and coding when we stopped by in the early afternoon. <a href=""http://an9.org/blog/"">Andy Smith</a>, pictured left, was the lone exception. Garage, sleeping engineers, cases of Red Bull…a true startup is a wonderful thing.</p>, <p><a href=""http://www.businessweek.com/technology/content/oct2005/tc2005105_2789_tc024.htm"">Make sure you read Rob Hof’s Flock essay on Business Week</a>. It’s…very complete. :-)</p>]"
Attention Trust Recorder,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/><a href=""http://www.attentiontrust.org"">AttentionTrust</a> (<a href=""http://www.beta.techcrunch.com/?p=100"">profile</a>) announced a number of updates to its service today.</p>, <p>The underlying philosophy of this nonprofit corporation is described in Seth GoldStein and Greg Yardley’s post <a href=""http://www.attentiontrust.org/blog"">on the Attention Trust blog</a>.</p>, <p>In addition to a new look and feel to the site, AttentionTrust has also releaseed the <a href=""http://www.attentiontrust.org/services"">Attention Trust Recorder</a>, a  Firefox extension that records your browsing history and saves it both to your desktop and to the Attention Trust service, where you can choose to share parts of it with trusted service providers.</p>, <p>From the <a href=""http://www.attentiontrust.org/extension/help"">FAQs</a>:</p>, <p><strong>Q: What does the Attention Recorder save and share?</strong></p>, <p>A: For each web page you visit, the Attention Recorder will save the web page’s URL, the web page’s title, the HTTP response code, and whether that web page read or wrote any cookies to were cookies. (The contents of those cookies we don’t record.)</p>, <p>You can see exactly what the Attention Recorder sends by selecting Tools &gt; Attention Recorder Options, selecting the Approved Services tab, and then selecting ‘Local Storage’ as an Attention Service. The same information the Attention Recorder sends will then be written to your hard drive. For a more technical discussion of the Attention Recorder, see <a href=""http://www.attentiontrust.org/extension/spec"">http://www.attentiontrust.org/extension/spec</a>.</p>, <p>
<strong><br/>
Q: How do I select which Approved Services to send my information to?</strong></p>, <p>A: Your initial selection can be made from this page – by selecting an Approved Service from the list and downloading the extension from that Approved Service’s Attention Trust page, you’ll automatically begin sending your information to that service. In the future, you can edit which Attention Banks receive your information by going to Tools &gt; Attention Recorder Options, selecting the Approved Services tab, and then changing your selections.</p>, <p>Steve Gillmor will be talking more about Attention Trust today at a 1:30 Web 2.0 Conference session.  Updates then.</p>]"
More Details on Attention Trust,"[<p id=""speakable-summary""><img alt="""" style=""float:left;""/>I’m sitting in the Attention Trust public board meeting at the Web 2.0 conference and getting more details on their <a href=""http://www.beta.techcrunch.com/2005/10/05/attention-trust-recorder/"">announcements discussed below</a>.</p>, <p>Everything is centered around the Attention Trust Recorder Firefox extension (they’re calling it ATX). Once installed, if you turn it on, it monitors your click stream. ATX also tells you if the site you are on is Attention Trust approved, and has controls to turn the recorder on and off.</p>, <p>The data can be stored locally and/or shared with any number of trusted parties if you so choose. Attention Trust insists that companies using the data <a href=""http://www.attentiontrust.org/member/137"">adhere to the Attention Trust principles</a>.</p>, <p>This information is incredibly valuable, of course, particularly when aggregated with others. Virtually any online company will be interested in this data, and will invent creative ways to incentivize customers to share their attention data with them.</p>, <p><img alt="""" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2005/10/attentiontrust1005.jpg""/></p>, <p>Search engines are the obvious example…knowing what sitex you’ve been to, and how long you’ve stayed, is extraordinarily useful in creating more relevant search results.</p>, <p>So once again, the basic flow:</p>]"
